Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-09-04	Sat	NOE	Ord Time XXII:Sat		Ord Time XXII:Sat	St Cuthbert, Bishop	Saturday memorial of our Lady
2027-09-05	Sun	NOE	ORDINARY TIME XXIII		ORDINARY TIME XXIII
2027-09-06	Mon	NOE	Ord Time XXIII:Mon		Ord Time XXIII:Mon
2027-09-07	Tue	NOE	Ord Time XXIII:Tue		Ord Time XXIII:Tue
2027-09-08	Wed	NOE	Nativity of our Lady		Nativity of our Lady
2027-09-09	Thu	NOE	Ord Time XXIII:Thu		Ord Time XXIII:Thu	St Peter Claver, Priest
2027-09-10	Fri	NOE	Ord Time XXIII:Fri		Ord Time XXIII:Fri
2027-09-11	Sat	NOE	Ord Time XXIII:Sat		Ord Time XXIII:Sat	Saturday memorial of our Lady
2027-09-12	Sun	NOE	ORDINARY TIME XXIV		ORDINARY TIME XXIV
2027-09-13	Mon	NOE	St John Chrysostom, Bishop, Doctor		St John Chrysostom, Bishop, Doctor
2027-09-14	Tue	NOE	Exaltation of the Holy Cross		Exaltation of the Holy Cross
2027-09-15	Wed	NOE	Our Lady of Sorrows		Our Lady of Sorrows
2027-09-16	Thu	NOE	Ss Cornelius, Pope, & Cyprian, Bishop, Martyrs		Ss Cornelius, Pope, & Cyprian, Bishop, Martyrs
2027-09-17	Fri	NOE	Ord Time XXIV:Fri		Ord Time XXIV:Fri	St Robert Bellarmine, Down Syndrome Patron, Bishop, Doctor	St Hildegard of Bingen, Virgin, Doctor
2027-09-18	Sat	NOE	Ord Time XXIV:Sat		Ord Time XXIV:Sat	Saturday memorial of our Lady
2027-09-19	Sun	NOE	ORDINARY TIME XXV		ORDINARY TIME XXV
2027-09-20	Mon	NOE	Ss Andrew Kim Taegon, Priest, & Paul Chong Hasang, & Companions, Martyrs		Ss Andrew Kim Taegon, Priest, & Paul Chong Hasang, & Companions, Martyrs
2027-09-21	Tue	NOE	St Matthew, Apostle, Evangelist		St Matthew, Apostle, Evangelist
2027-09-22	Wed	NOE	Ord Time XXV:Wed		Ord Time XXV:Wed
2027-09-23	Thu	NOE	St Pius of Pietrelcina, Priest		St Pius of Pietrelcina, Priest
2027-09-24	Fri	NOE	Our Lady of Walsingham		Our Lady of Walsingham
2027-09-25	Sat	NOE	Ord Time XXV:Sat		Ord Time XXV:Sat	Saturday memorial of our Lady
2027-09-26	Sun	NOE	ORDINARY TIME XXVI		ORDINARY TIME XXVI
2027-09-27	Mon	NOE	St Vincent de Paul, Priest		St Vincent de Paul, Priest
2027-09-28	Tue	NOE	Ord Time XXVI:Tue		Ord Time XXVI:Tue	St Wenceslaus, Martyr	Ss Laurence Ruiz & Companions, Martyrs
2027-09-29	Wed	NOE	Ss Michael, Gabriel & Raphael, Archangels		Ss Michael, Gabriel & Raphael, Archangels
2027-09-30	Thu	NOE	St Jerome, Priest, Doctor		St Jerome, Priest, Doctor
2027-10-01	Fri	NOE	St Thérèse of the Child Jesus, Virgin, Doctor		St Thérèse of the Child Jesus, Virgin, Doctor
2027-10-02	Sat	NOE	Holy Guardian Angels		Holy Guardian Angels
2027-10-03	Sun	NOE	ORDINARY TIME XXVII		ORDINARY TIME XXVII
2027-10-04	Mon	NOE	St Francis of Assisi, Ecology Patron, Founder, Confessor		St Francis of Assisi, Ecology Patron, Founder, Confessor
2027-10-05	Tue	NOE	Ord Time XXVII:Tue		Ord Time XXVII:Tue	St Faustina Kowalska, Religious
2027-10-06	Wed	NOE	Ord Time XXVII:Wed		Ord Time XXVII:Wed	St Bruno, Priest
2027-10-07	Thu	NOE	Our Lady of the Rosary		Our Lady of the Rosary
2027-10-08	Fri	NOE	Ord Time XXVII:Fri		Ord Time XXVII:Fri
2027-10-09	Sat	NOE	St John Henry Newman, Catholic Education Co-Patron, Priest, Doctor		St John Henry Newman, Catholic Education Co-Patron, Priest, Doctor
2027-10-10	Sun	NOE	ORDINARY TIME XXVIII		ORDINARY TIME XXVIII
2027-10-11	Mon	NOE	Ord Time XXVIII:Mon		Ord Time XXVIII:Mon	St John XXIII, Pope
2027-10-12	Tue	NOE	Ord Time XXVIII:Tue		Ord Time XXVIII:Tue	St Wilfrid, Bishop, Missionary
2027-10-13	Wed	NOE	Ord Time XXVIII:Wed		Ord Time XXVIII:Wed	St Edward the Confessor, King
2027-10-14	Thu	NOE	Ord Time XXVIII:Thu		Ord Time XXVIII:Thu	St Callistus, Pope, Martyr
2027-10-15	Fri	NOE	St Teresa of Ávila, Virgin, Doctor		St Teresa of Ávila, Virgin, Doctor
